serviceArea,cidr
Common,2603:1006:1400::/40
Common,2603:1006:2000::/48
Common,2603:1007:200::/48
Common,2603:1016:1400::/48
Common,2603:1016:2400::/40
Common,2603:1017::/48
Common,2603:1026:2400::/40
Common,2603:1026:3000::/48
Common,2603:1027:1::/48
Common,2603:1036:2400::/40
Common,2603:1036:3000::/48
Common,2603:1037:1::/48
Common,2603:1046:1400::/40
Common,2603:1046:2000::/48
Common,2603:1047:1::/48
Common,2603:1056:1400::/40
Common,2603:1056:2000::/48
Common,2603:1057:2::/48
Common,2603:1063:2000::/38
Common,2620:1ec:4::192/128
Common,2620:1ec:c::15/128
Common,2620:1ec:8fc::6/128
Common,2620:1ec:a92::171/128
Common,2620:1ec:a92::192/128
Common,2a01:111:f100:2000::a83e:3019/128
Common,2a01:111:f100:2002::8975:2d79/128
Common,2a01:111:f100:2002::8975:2da8/128
Common,2a01:111:f100:7000::6fdd:6cd5/128
Common,2a01:111:f100:a004::bfeb:88cf/128
Exchange,2603:1006::/40
Exchange,2603:1016::/36
Exchange,2603:1026::/36
Exchange,2603:1036::/36
Exchange,2603:1046::/36
Exchange,2603:1056::/36
Exchange,2620:1ec:4::152/127
Exchange,2620:1ec:c::10/127
Exchange,2620:1ec:d::10/127
Exchange,2620:1ec:8f0::/46
Exchange,2620:1ec:900::/46
Exchange,2620:1ec:a92::152/127
Exchange,2a01:111:f400::/48
Exchange,2a01:111:f403::/48
SharePoint,2603:1061:1300::/40
SharePoint,2603:1063:6000::/35
SharePoint,2620:1ec:8f8::/46
SharePoint,2620:1ec:908::/46
SharePoint,2a01:111:f402::/48
Skype,2603:1027::/48
Skype,2603:1037::/48
Skype,2603:1047::/48
Skype,2603:1057::/48
Skype,2603:1063::/38
Skype,2620:1ec:6::/48
Skype,2620:1ec:40::/42
